,IV,feature
0,0.21523221231056422,greyscale -> gray -> betti-0
1,0.21561153794362645,greyscale -> gray -> betti-1
2,0.26287300329283547,greyscale -> gray -> betti-2
3,0.23905195155504055,greyscale -> gray -> betti-3
4,0.31071210603939103,greyscale -> gray -> betti-4
5,0.31071210603939103,greyscale -> gray -> betti-5
6,0.30493791315447183,greyscale -> gray -> betti-6
7,0.2714453686062374,greyscale -> gray -> betti-7
8,0.1213029815972159,greyscale -> gray -> landscape-0
9,0.1213029815972159,greyscale -> gray -> landscape-1
10,0.10533827713969404,greyscale -> gray -> landscape-2
11,0.0882988753987593,greyscale -> gray -> landscape-3
12,0.16314693892209292,greyscale -> gray -> landscape-4
13,0.16314693892209292,greyscale -> gray -> landscape-5
14,0.15118265196775257,greyscale -> gray -> landscape-6
15,0.12736938706098153,greyscale -> gray -> landscape-7
16,0.1373646673790543,greyscale -> gray -> landscape-8
17,0.1373646673790543,greyscale -> gray -> landscape-9
18,0.11633339597439779,greyscale -> gray -> landscape-10
19,0.09531089875263812,greyscale -> gray -> landscape-11
20,0.2807642522865153,greyscale -> gray -> landscape-12
21,0.2807642522865153,greyscale -> gray -> landscape-13
22,0.2689816655696002,greyscale -> gray -> landscape-14
23,0.232040182301975,greyscale -> gray -> landscape-15
24,0.1489854765593689,greyscale -> gray -> landscape-16
25,0.1489854765593689,greyscale -> gray -> landscape-17
26,0.13422021676635323,greyscale -> gray -> landscape-18
27,0.10864416910262174,greyscale -> gray -> landscape-19
28,0.32215432171494096,greyscale -> gray -> landscape-20
29,0.32215432171494096,greyscale -> gray -> landscape-21
30,0.31077146174765935,greyscale -> gray -> landscape-22
31,0.2669118218566995,greyscale -> gray -> landscape-23
32,0.13736114529967175,greyscale -> gray -> silhouette-0
33,0.13736114529967175,greyscale -> gray -> silhouette-1
34,0.134095623335182,greyscale -> gray -> silhouette-2
35,0.1308688870678482,greyscale -> gray -> silhouette-3
36,0.174819131367686,greyscale -> gray -> silhouette-4
37,0.174819131367686,greyscale -> gray -> silhouette-5
38,0.1626122643317306,greyscale -> gray -> silhouette-6
39,0.14520081432957735,greyscale -> gray -> silhouette-7
40,0.11718824293688179,greyscale -> gray -> silhouette-8
41,0.11718824293688179,greyscale -> gray -> silhouette-9
42,0.10727245399260758,greyscale -> gray -> silhouette-10
43,0.1052663722388445,greyscale -> gray -> silhouette-11
44,0.1221468229901333,greyscale -> gray -> silhouette-12
45,0.1221468229901333,greyscale -> gray -> silhouette-13
46,0.11128089197105334,greyscale -> gray -> silhouette-14
47,0.0965797892356142,greyscale -> gray -> silhouette-15
48,0.3942838637670232,greyscale -> gray -> entropy-0
49,0.39719757368014025,greyscale -> gray -> entropy-1
50,0.32413376464895466,greyscale -> gray -> number_of_points-0
51,0.4180272746624516,greyscale -> gray -> number_of_points-1
52,0.0508136637308861,greyscale -> gray -> heat-0
53,0.295115816153495,greyscale -> gray -> heat-1
54,0.3414978355893123,greyscale -> gray -> heat-2
55,0.2833014234284162,greyscale -> gray -> heat-3
56,0.07528699468829118,greyscale -> gray -> heat-4
57,0.3613239290927643,greyscale -> gray -> heat-5
58,0.3678951347063329,greyscale -> gray -> heat-6
59,0.3391643452661,greyscale -> gray -> heat-7
60,0.036428017701616654,greyscale -> gray -> heat-8
61,0.20134922183077056,greyscale -> gray -> heat-9
62,0.202412786625815,greyscale -> gray -> heat-10
63,0.2173749875939732,greyscale -> gray -> heat-11
64,0.030862494733660168,greyscale -> gray -> heat-12
65,0.3280659966731163,greyscale -> gray -> heat-13
66,0.327649369849639,greyscale -> gray -> heat-14
67,0.31821842193232613,greyscale -> gray -> heat-15
68,0.029709390837788605,greyscale -> gray -> heat-16
69,0.21140165133308209,greyscale -> gray -> heat-17
70,0.2114274533367162,greyscale -> gray -> heat-18
71,0.2113037692879594,greyscale -> gray -> heat-19
72,0.03499331718187612,greyscale -> gray -> heat-20
73,0.31091545833703704,greyscale -> gray -> heat-21
74,0.3115293691928135,greyscale -> gray -> heat-22
75,0.3112575727199416,greyscale -> gray -> heat-23
76,0.3281030784314889,greyscale -> gray -> persistence_image-0
77,0.32846069129891026,greyscale -> gray -> persistence_image-1
78,0.2853081383529298,greyscale -> gray -> persistence_image-2
79,0.16454919717542374,greyscale -> gray -> persistence_image-3
80,0.3938823718049422,greyscale -> gray -> persistence_image-4
81,0.3940992331805467,greyscale -> gray -> persistence_image-5
82,0.39822026726625814,greyscale -> gray -> persistence_image-6
83,0.3016921466847517,greyscale -> gray -> persistence_image-7
84,0.3218365445303397,greyscale -> gray -> persistence_image-8
85,0.3218365445303397,greyscale -> gray -> persistence_image-9
86,0.3279466950066564,greyscale -> gray -> persistence_image-10
87,0.32809900784084184,greyscale -> gray -> persistence_image-11
88,0.40358200874469286,greyscale -> gray -> persistence_image-12
89,0.404011842368224,greyscale -> gray -> persistence_image-13
90,0.408887631960974,greyscale -> gray -> persistence_image-14
91,0.4171531016681968,greyscale -> gray -> persistence_image-15
92,0.3264562746800407,greyscale -> gray -> persistence_image-16
93,0.3264562746800407,greyscale -> gray -> persistence_image-17
94,0.325956366977681,greyscale -> gray -> persistence_image-18
95,0.322974355562237,greyscale -> gray -> persistence_image-19
96,0.4199542915383834,greyscale -> gray -> persistence_image-20
97,0.4199542915383834,greyscale -> gray -> persistence_image-21
98,0.4199601573953973,greyscale -> gray -> persistence_image-22
99,0.42488073448777314,greyscale -> gray -> persistence_image-23
100,0.17833951039606802,greyscale -> gray -> lifetime-0
101,0.13327555458809623,greyscale -> gray -> lifetime-1
102,0.14194975718314531,greyscale -> gray -> lifetime-2
103,0.25259526973397817,greyscale -> gray -> lifetime-3
104,0.14962697163768832,greyscale -> gray -> lifetime-4
105,0.10250901982517956,greyscale -> gray -> lifetime-5
106,0.2147880928092913,greyscale -> gray -> lifetime-6
107,0.13061387271140748,greyscale -> gray -> lifetime-7
108,0.08743536690279571,greyscale -> gray -> lifetime-8
109,0.30967613202138927,greyscale -> gray -> lifetime-9
110,0.28810915956645977,greyscale -> gray -> lifetime-10
111,0.12538356053759328,greyscale -> gray -> lifetime-11
112,0.24794908057919832,greyscale -> red -> betti-0
113,0.25008944780343373,greyscale -> red -> betti-1
114,0.272439949114349,greyscale -> red -> betti-2
115,0.2461653085071814,greyscale -> red -> betti-3
116,0.30251488933327103,greyscale -> red -> betti-4
117,0.3021881189270812,greyscale -> red -> betti-5
118,0.30407250783329576,greyscale -> red -> betti-6
119,0.26474204445127064,greyscale -> red -> betti-7
120,0.1462619368463082,greyscale -> red -> landscape-0
121,0.1462619368463082,greyscale -> red -> landscape-1
122,0.13175750829612742,greyscale -> red -> landscape-2
123,0.11037246338848429,greyscale -> red -> landscape-3
124,0.11978198685738797,greyscale -> red -> landscape-4
125,0.11978198685738797,greyscale -> red -> landscape-5
126,0.10686946334652804,greyscale -> red -> landscape-6
127,0.08830600452906029,greyscale -> red -> landscape-7
128,0.1714278401348278,greyscale -> red -> landscape-8
129,0.17145768000111372,greyscale -> red -> landscape-9
130,0.15888418510068175,greyscale -> red -> landscape-10
131,0.1297653178842505,greyscale -> red -> landscape-11
132,0.20514861702137022,greyscale -> red -> landscape-12
133,0.2051782188429616,greyscale -> red -> landscape-13
134,0.19801129472241943,greyscale -> red -> landscape-14
135,0.16172409278129724,greyscale -> red -> landscape-15
136,0.19758504752485873,greyscale -> red -> landscape-16
137,0.19752079245449014,greyscale -> red -> landscape-17
138,0.18035006464434428,greyscale -> red -> landscape-18
139,0.1513150540879426,greyscale -> red -> landscape-19
140,0.25955137048550797,greyscale -> red -> landscape-20
141,0.2594775731362561,greyscale -> red -> landscape-21
142,0.2436963176410021,greyscale -> red -> landscape-22
143,0.21232179502558532,greyscale -> red -> landscape-23
144,0.15531331143607296,greyscale -> red -> silhouette-0
