,IV,feature
83,0.2666960765634782,greyscale -> gray -> persistence_image-7
84,0.29289737209249433,greyscale -> gray -> persistence_image-8
85,0.2928777457084176,greyscale -> gray -> persistence_image-9
86,0.2792172301851873,greyscale -> gray -> persistence_image-10
87,0.2589950800120526,greyscale -> gray -> persistence_image-11
88,0.25285282720979074,greyscale -> gray -> persistence_image-12
89,0.2528306767821646,greyscale -> gray -> persistence_image-13
90,0.24162196468087002,greyscale -> gray -> persistence_image-14
91,0.2211560149548898,greyscale -> gray -> persistence_image-15
92,0.261738365751934,greyscale -> gray -> persistence_image-16
93,0.261738365751934,greyscale -> gray -> persistence_image-17
94,0.26167208415025545,greyscale -> gray -> persistence_image-18
95,0.25874600975781586,greyscale -> gray -> persistence_image-19
96,0.22968518111236882,greyscale -> gray -> persistence_image-20
97,0.22968518111236882,greyscale -> gray -> persistence_image-21
98,0.23009943162941904,greyscale -> gray -> persistence_image-22
99,0.22863035814641594,greyscale -> gray -> persistence_image-23
100,0.4846360945290207,greyscale -> gray -> lifetime-0
101,0.5043492316614058,greyscale -> gray -> lifetime-1
102,0.4552103736892078,greyscale -> gray -> lifetime-2
103,0.4279690014020511,greyscale -> gray -> lifetime-3
104,0.5487755736905775,greyscale -> gray -> lifetime-4
105,0.5735700229881058,greyscale -> gray -> lifetime-5
106,0.5826170446970377,greyscale -> gray -> lifetime-6
107,0.6370753115192802,greyscale -> gray -> lifetime-7
108,0.6194474212682829,greyscale -> gray -> lifetime-8
109,0.4782157310929425,greyscale -> gray -> lifetime-9
110,0.5297759184406676,greyscale -> gray -> lifetime-10
111,0.5141618989060429,greyscale -> gray -> lifetime-11
112,0.5833776194756566,greyscale -> red -> betti-0
113,0.5833776194756566,greyscale -> red -> betti-1
114,0.4837524781592227,greyscale -> red -> betti-2
115,0.2080059618255083,greyscale -> red -> betti-3
116,0.4699775402610693,greyscale -> red -> betti-4
117,0.4699775402610693,greyscale -> red -> betti-5
118,0.4372982768713132,greyscale -> red -> betti-6
119,0.2803502378675002,greyscale -> red -> betti-7
120,0.6379302363558312,greyscale -> red -> landscape-0
121,0.6379302363558312,greyscale -> red -> landscape-1
122,0.6382892726491246,greyscale -> red -> landscape-2
123,0.6324571214673269,greyscale -> red -> landscape-3
124,0.5488013165017948,greyscale -> red -> landscape-4
125,0.5488013165017948,greyscale -> red -> landscape-5
126,0.5437552381086304,greyscale -> red -> landscape-6
127,0.5393850728228351,greyscale -> red -> landscape-7
128,0.6174641201775168,greyscale -> red -> landscape-8
129,0.6174641201775168,greyscale -> red -> landscape-9
130,0.606330412033069,greyscale -> red -> landscape-10
131,0.5658501415235714,greyscale -> red -> landscape-11
132,0.4752878791235818,greyscale -> red -> landscape-12
133,0.4752878791235818,greyscale -> red -> landscape-13
134,0.47374443446479503,greyscale -> red -> landscape-14
135,0.43068342677562765,greyscale -> red -> landscape-15
136,0.5807133498231959,greyscale -> red -> landscape-16
137,0.58071811947924,greyscale -> red -> landscape-17
138,0.5669634662525086,greyscale -> red -> landscape-18
139,0.5329761178883865,greyscale -> red -> landscape-19
140,0.5021514108093561,greyscale -> red -> landscape-20
141,0.502154226147531,greyscale -> red -> landscape-21
142,0.4905772509273294,greyscale -> red -> landscape-22
143,0.4671204300055753,greyscale -> red -> landscape-23
144,0.6368921884011421,greyscale -> red -> silhouette-0
145,0.6368921884011421,greyscale -> red -> silhouette-1
146,0.6181488564146228,greyscale -> red -> silhouette-2
147,0.559344441280617,greyscale -> red -> silhouette-3
148,0.5332251052786268,greyscale -> red -> silhouette-4
149,0.5332251052786268,greyscale -> red -> silhouette-5
150,0.496598175993082,greyscale -> red -> silhouette-6
151,0.41041167997586275,greyscale -> red -> silhouette-7
152,0.6223693915027475,greyscale -> red -> silhouette-8
153,0.6223693915027475,greyscale -> red -> silhouette-9
